104.17.237.152,104.23.198.136
222.146.255.70,222.149.19.36
7.195.113.198,7.210.90.175
3.189.182.97,3.190.17.230
44.102.79.239,44.110.53.190
136.20.16.111,136.20.196.239
101.4.166.16,101.7.179.100
94.96.49.101,94.107.84.206
144.50.204.10,144.51.133.57
143.19.84.155,143.23.34.246
46.133.176.54,46.145.164.122
152.222.141.130,152.227.37.20
194.57.169.160,194.62.145.149
204.245.240.214,205.1.235.189
185.5.8.220,185.16.159.14
127.57.206.120,127.68.150.50
59.144.20.76,59.144.224.29
75.255.47.229,76.9.230.86
76.58.204.255,76.62.77.91
225.20.212.172,225.35.187.140
103.46.153.195,103.55.240.235
164.153.139.143,164.159.114.178
24.25.131.150,24.31.235.63
20.173.85.19,20.185.136.42
193.185.215.60,193.188.64.176
13.211.226.93,13.222.199.250
90.123.161.14,90.125.25.149
146.184.244.126,146.186.193.219
246.68.166.54,246.77.122.175
51.201.189.239,51.211.242.1
0.147.221.63,0.160.67.120
129.140.54.127,129.152.112.20
97.213.3.76,97.216.206.38
203.239.188.113,203.247.85.91
72.70.225.249,72.84.11.32
104.173.194.130,104.181.178.128
74.185.183.196,74.197.177.154
13.57.239.227,13.65.15.12
239.150.236.7,239.155.187.63
1.59.150.34,1.73.92.92
107.164.86.191,107.175.26.54
6.91.254.180,6.104.248.180
37.222.237.112,37.229.18.30
63.146.177.96,63.158.105.44
146.154.62.236,146.167.40.27
17.211.134.92,17.224.48.83
119.190.189.67,119.193.19.93
21.33.202.98,21.45.238.209
132.248.1.47,132.248.107.203
119.18.73.155,119.20.142.31
156.169.10.208,156.179.180.176
193.132.208.32,193.136.43.181
249.84.133.121,249.85.22.60
154.220.218.196,154.224.131.163
211.75.94.65,211.76.225.123
159.166.162.0,159.169.16.174
114.49.139.191,114.53.220.101
25.25.37.5,25.34.152.247
71.237.172.43,71.248.142.125
34.164.51.67,34.173.187.95
126.215.66.14,126.222.197.155
238.170.210.202,238.183.90.137
145.75.88.38,145.87.66.228
113.31.30.71,113.40.104.236
231.15.235.241,231.24.0.18
100.5.21.111,100.18.168.62
106.177.110.1,106.186.232.75
78.124.84.56,78.133.29.249
171.113.112.191,171.122.250.83
147.16.97.161,147.24.146.26
133.221.1.142,133.227.32.80
92.89.53.80,92.91.49.142
240.93.200.181,240.103.9.42
75.15.88.122,75.22.199.34
101.184.59.207,101.187.186.243
227.105.127.56,227.106.185.124
159.169.231.80,159.176.10.67
181.7.74.31,181.8.192.189
21.199.92.64,21.203.167.135
124.113.250.42,124.128.43.118
112.95.167.206,112.106.25.116
96.243.194.43,97.1.53.128
175.191.246.26,175.197.199.160
76.178.174.201,76.191.125.228
132.202.41.44,132.210.68.184
106.92.186.121,106.94.164.194
123.240.98.54,123.243.141.6
54.166.114.216,54.167.81.67
207.226.152.191,207.227.3.54
123.3.172.158,123.12.117.147
236.94.117.48,236.95.234.25
119.92.224.144,119.98.11.63
183.92.182.186,183.107.167.252
35.160.206.69,35.172.157.175
225.127.120.51,225.136.153.164
44.96.128.47,44.106.165.136
102.170.111.97,102.176.30.164
186.158.183.180,186.159.36.123
163.105.148.174,163.110.160.175
201.46.172.152,201.50.47.226
133.30.244.188,133.35.119.113
15.169.104.120,15.177.129.122
6.113.213.130,6.126.20.38
147.11.73.7,147.22.135.192
212.12.81.216,212.16.168.253
228.39.90.180,228.53.37.0
208.75.199.116,208.85.126.150
87.236.120.2,87.240.152.223
178.180.77.182,178.181.75.115
174.10.50.191,174.23.111.241
232.79.26.174,232.83.197.248
177.44.23.56,177.53.203.249
219.184.223.4,219.186.249.149
104.229.42.124,104.230.23.83
228.184.76.82,228.184.155.55
223.71.246.36,223.75.215.88
165.131.8.45,165.136.71.42
132.178.21.78,132.188.4.136
114.79.242.174,114.93.36.85
127.8.70.83,127.9.13.2
180.156.114.152,180.160.72.147
219.40.151.30,219.51.197.213
155.11.252.217,155.19.207.177
196.89.186.172,196.90.37.137
72.90.109.172,72.100.20.106
77.49.113.193,77.60.246.132
143.246.25.104,143.255.109.4
38.147.137.115,38.149.104.205
105.72.170.121,105.86.156.220
97.63.71.86,97.70.189.96
92.230.86.95,92.232.151.143
75.149.186.85,75.153.86.232
101.135.10.21,101.149.102.139
63.217.35.18,63.230.101.172
127.210.110.76,127.223.185.58
211.85.168.248,211.93.14.83
110.137.25.233,110.148.254.107
208.178.60.219,208.179.210.92
187.213.65.127,187.224.166.76
196.3.32.158,196.13.229.81
178.228.95.196,178.232.75.142
74.113.23.102,74.124.134.71
133.112.139.13,133.115.186.139
223.218.154.238,223.220.171.158
102.62.85.39,102.75.28.250
169.255.184.52,170.1.83.236
224.30.192.223,224.32.160.105
